participantID,block_n,trials,blockType,forcedTrial,gem_presented,market_presented,door_side,chooseLeft,outcomeState,outcome,ons_fixation,ons_door_display,ons_responsecue,ons_gem_fixation,ons_outcome_display,ons_condition_text,ons_trigger,missed_trial,rew_loss,rt,prob_market_presented,correct_choice,market_reversal,pick_black,black_presented_force,prob_independent_1,prob_independent_2,prob_dependent,blackFirst,gem_colour
1,1,61,2,0,4,2,1,1,2,0,13288.27986,13292.38085,13295.61473,13297.14838,13300.54692,NaN,NaN,0,1,1.490496127,0.2,1,0,0,NaN,0.8,0.2,0.8,-1,3
1,1,62,2,1,3,1,1,1,2,0,13302.56353,13304.91406,13306.91394,13308.44678,13313.93031,NaN,NaN,0,1,0.996757801,0.8,NaN,0,0,0,0.8,0.2,0.8,-1,1
1,1,63,2,0,4,2,2,1,2,0,13315.9469,13318.93051,13322.33098,13323.86321,13327.68031,NaN,NaN,0,-1,0.850180919,0.2,1,0,1,NaN,0.8,0.2,0.8,-1,3
1,1,64,2,1,4,2,1,1,2,0,13329.69714,13332.56327,13335.08015,13336.61338,13340.06314,NaN,NaN,0,-1,0.480785106,0.2,NaN,0,1,1,0.8,0.2,0.8,1,3
1,2,1,2,1,4,2,1,1,1,1,8517.812435,8521.198111,8524.266898,8525.868005,8528.953472,8514.793694,8504.738206,0,1,0.583579659,0.8,NaN,0,1,1,0.2,0.8,0.2,1,3
1,2,2,2,1,4,2,1,1,2,0,8530.971541,8536.7422,8540.177896,8541.695612,8544.414158,NaN,NaN,0,1,0.574258846,0.8,NaN,0,0,0,0.2,0.8,0.2,-1,3
1,2,3,2,0,4,2,1,0,2,0,8546.432219,8551.135475,8552.769935,8554.287661,8558.623983,NaN,NaN,0,-1,0.573982779,0.8,1,0,0,NaN,0.2,0.8,0.2,1,3
1,2,4,2,1,3,1,1,1,1,-1,8560.642045,8566.062459,8569.114569,8570.632296,8576.553046,NaN,NaN,0,-1,0.505430548,0.2,NaN,0,0,0,0.2,0.8,0.2,-1,1
1,2,5,2,1,3,1,2,0,1,-1,8578.571107,8581.940104,8583.691312,8585.209031,8589.078373,NaN,NaN,0,-1,1.270334029,0.2,NaN,0,0,0,0.2,0.8,0.2,-1,1
1,2,6,2,1,4,2,2,0,2,0,8591.096431,8595.015811,8598.418181,8599.935876,8605.439693,NaN,NaN,0,-1,0.000453945,0.8,NaN,0,0,0,0.2,0.8,0.2,-1,3
1,2,7,2,0,3,1,1,1,1,1,8607.457744,8610.526534,8612.828127,8614.345853,8616.614077,NaN,NaN,0,1,1.459852199,0.2,1,0,0,NaN,0.2,0.8,0.2,-1,1
1,2,8,2,1,3,1,2,0,2,0,8618.632138,8622.017812,8625.403495,8626.921203,8629.089367,NaN,NaN,0,-1,0.684984697,0.2,NaN,0,1,1,0.2,0.8,0.2,1,1
1,2,9,2,0,3,1,2,NaN,9,NaN,8631.107439,8636.127568,8638.078916,8639.596631,8643.249156,NaN,NaN,1,-1,NaN,0.2,0,0,NaN,NaN,0.2,0.8,0.2,-1,1
1,2,10,2,1,4,2,2,0,1,1,8645.267216,8650.937807,8653.656352,8655.174067,8658.943342,NaN,NaN,0,1,0.545292605,0.8,NaN,0,0,0,0.2,0.8,0.2,-1,3
1,2,11,2,1,4,2,2,0,2,0,8660.961401,8663.696626,8667.015586,8668.533294,8674.070466,NaN,NaN,0,1,0.449648826,0.8,NaN,0,1,1,0.2,0.8,0.2,1,3
1,2,12,2,0,4,2,1,0,1,-1,8676.088526,8678.356763,8680.991919,8682.509634,8686.962713,NaN,NaN,0,-1,1.169910594,0.8,0,0,1,NaN,0.2,0.8,0.2,-1,3
1,2,13,2,1,3,1,1,1,2,0,8688.980772,8692.833437,8696.269145,8697.786862,8702.206583,NaN,NaN,0,1,0.580242666,0.2,NaN,0,1,1,0.2,0.8,0.2,1,1
1,2,14,2,1,4,2,2,0,1,-1,8704.224708,8709.194747,8712.547064,8714.064778,8716.366372,NaN,NaN,0,-1,0.855054385,0.8,NaN,0,1,1,0.2,0.8,0.2,1,3
1,2,15,2,1,4,2,1,1,2,0,8718.384443,8723.321182,8726.006373,8727.524085,8731.510175,NaN,NaN,0,1,0.800264227,0.8,NaN,0,0,0,0.2,0.8,0.2,-1,3
1,2,16,2,1,4,2,1,1,2,0,8733.528237,8735.613015,8738.164776,8739.682489,8744.652603,NaN,NaN,0,1,0.731443613,0.8,NaN,0,0,0,0.2,0.8,0.2,-1,3
1,2,17,2,0,3,1,1,0,1,1,8746.670656,8749.989626,8752.241175,8753.75889,8756.744266,NaN,NaN,0,1,0.574585857,0.2,1,0,0,NaN,0.2,0.8,0.2,1,1
1,2,18,2,1,3,1,2,0,2,0,8758.762349,8761.230724,8762.981931,8764.499646,8767.068091,NaN,NaN,0,-1,0.600306747,0.2,NaN,0,1,1,0.2,0.8,0.2,1,1
1,2,19,2,1,3,1,2,0,1,-1,8769.086154,8771.137568,8774.439862,8775.957571,8780.944351,NaN,NaN,0,-1,0.47887548,0.8,NaN,1,0,0,0.8,0.8,0.2,-1,1
1,2,20,2,1,3,1,1,1,2,0,8782.96241,8787.699022,8790.150716,8791.668433,8797.572513,NaN,NaN,0,-1,0.529716744,0.8,NaN,0,0,0,0.8,0.8,0.2,-1,1
1,2,21,2,1,3,1,1,1,2,0,8799.590585,8802.125662,8805.377919,8806.895635,8810.731611,NaN,NaN,0,-1,0.605177761,0.8,NaN,0,1,1,0.8,0.8,0.2,1,1
1,2,22,2,1,3,1,2,0,2,0,8812.749683,8816.168702,8818.103371,8819.621088,8824.290987,NaN,NaN,0,1,0.729264678,0.2,NaN,1,1,1,0.2,0.8,0.2,1,1
1,2,23,2,1,4,2,2,0,2,0,8826.309046,8829.794789,8831.395895,8832.913612,8838.334025,NaN,NaN,0,1,1.280326795,0.8,NaN,0,0,0,0.2,0.8,0.2,-1,3
1,2,24,2,1,4,2,1,1,2,0,8840.352087,8844.688419,8847.723876,8849.241566,8854.84544,NaN,NaN,0,-1,0.524958433,0.8,NaN,0,1,1,0.2,0.8,0.2,1,3
1,2,25,2,1,3,1,2,0,1,1,8856.863502,8859.381909,8861.066406,8862.584122,8866.453474,NaN,NaN,0,1,1.035028042,0.2,NaN,0,0,0,0.2,0.8,0.2,-1,1
1,2,26,2,1,4,2,1,1,2,0,8868.471526,8871.59035,8874.575758,8876.093514,8879.312356,NaN,NaN,0,1,0.55915116,0.8,NaN,0,1,1,0.2,0.8,0.2,1,3
1,2,27,2,0,4,2,2,1,1,-1,8881.330414,8885.900243,8888.185155,8889.702871,8892.137889,NaN,NaN,0,-1,0.772337364,0.8,0,0,1,NaN,0.2,0.8,0.2,-1,3
1,2,28,2,0,4,2,2,0,1,-1,8894.155948,8900.043354,8903.078781,8904.5965,8909.950203,NaN,NaN,0,-1,1.135367804,0.8,0,0,1,NaN,0.2,0.8,0.2,1,3
1,2,29,2,0,3,1,2,0,2,0,8911.968276,8917.805647,8920.741026,8922.258723,8925.894558,NaN,NaN,0,1,0.965894078,0.8,0,1,0,NaN,0.8,0.8,0.2,-1,1
1,2,30,2,1,4,2,2,0,2,0,8927.912619,8930.96473,8932.632548,8934.150324,8939.120378,NaN,NaN,0,-1,0.738889164,0.2,NaN,1,1,1,0.8,0.2,0.2,1,3
1,2,31,2,1,3,1,1,1,2,0,8941.138431,8946.658922,8949.477528,8950.995245,8954.447643,NaN,NaN,0,-1,0.689623189,0.8,NaN,0,0,0,0.8,0.2,0.2,-1,1
1,2,32,2,1,3,1,1,1,1,1,8956.465693,8961.018842,8962.536558,8964.054274,8968.323892,NaN,NaN,0,1,0.884160936,0.8,NaN,0,1,1,0.8,0.2,0.2,1,1
1,2,33,1,1,2,3,2,0,2,0,8973.360716,8978.764442,8981.015998,8982.533713,8987.854064,8970.341957,NaN,0,1,0.38046904,0.2,NaN,0,1,1,0.8,0.2,0.2,1,2
1,2,34,1,1,2,3,1,1,2,0,8989.872119,8993.141047,8994.775509,8996.293226,8998.611497,NaN,NaN,0,-1,0.757467323,0.2,NaN,0,1,1,0.8,0.2,0.2,1,2
1,2,35,1,1,2,3,2,0,2,0,9000.629559,9002.931152,9004.7157,9006.233432,9011.70391,NaN,NaN,0,-1,0.944810826,0.2,NaN,0,1,1,0.8,0.2,0.2,1,2
1,2,36,1,1,2,3,1,1,1,-1,9013.721971,9016.523889,9019.959591,9021.477305,9026.047147,NaN,NaN,0,-1,0.510494524,0.2,NaN,0,0,0,0.8,0.2,0.2,-1,2
1,2,37,1,1,1,3,1,1,2,0,9028.065192,9033.852536,9037.204845,9038.722561,9044.343121,NaN,NaN,0,1,0.599977175,0.2,NaN,0,1,1,0.8,0.2,0.2,1,4
1,2,38,1,0,2,3,1,1,2,0,9046.361175,9051.064425,9052.932386,9054.4501,9058.33612,NaN,NaN,0,-1,1.480102412,0.2,1,0,1,NaN,0.8,0.2,0.2,1,2
