participantID,block_n,trials,blockType,forcedTrial,gem_presented,market_presented,door_side,chooseLeft,outcomeState,outcome,ons_fixation,ons_door_display,ons_responsecue,ons_gem_fixation,ons_outcome_display,ons_condition_text,ons_trigger,missed_trial,rew_loss,rt,prob_market_presented,correct_choice,market_reversal,pick_black,black_presented_force,prob_independent_1,prob_independent_2,prob_dependent,blackFirst
5,2,18,2,0,4,2,1,0,2,0,30365.6511186968,30371.2883270407,30373.1896223349,30374.7073586324,30378.743484396,NaN,NaN,0,1,0.577965825774299,0.8,0,0,0,NaN,0.8,0.8,0.2,1
5,2,19,2,0,3,1,2,0,2,0,30380.7615539659,30385.1479220137,30387.9331710516,30389.4508660814,30393.820573923,NaN,NaN,0,1,0.715009383424331,0.8,1,0,1,NaN,0.8,0.8,0.2,1
5,2,20,2,1,3,1,1,1,2,0,30395.8386454852,30401.3758000957,30402.926873028,30404.4445885494,30407.7301930589,NaN,NaN,0,1,0.75496507612479,0.8,NaN,0,0,0,0.8,0.8,0.2,-1
5,2,21,2,1,3,1,2,0,1,-1,30409.7482543754,30414.8351283369,30416.8198114663,30418.3375264185,30423.9914370901,NaN,NaN,0,-1,0.56461415249214,0.8,NaN,0,1,1,0.8,0.8,0.2,1
5,2,22,2,1,4,2,2,0,1,1,30426.0094998295,30431.3631992104,30434.815585367,30436.3333003192,30441.8037529151,NaN,NaN,0,1,0.529586394968646,0.8,NaN,0,1,1,0.8,0.8,0.2,1
5,2,23,2,0,4,2,2,0,2,0,30443.8218142315,30449.8092893357,30451.8940714506,30453.4117781493,30457.1977378458,NaN,NaN,0,1,0.619795357637486,0.8,0,0,0,NaN,0.8,0.8,0.2,-1
5,2,24,2,1,3,1,1,1,1,1,30459.2157900549,30463.6521984881,30466.3207042721,30467.838426624,30469.8731612384,NaN,NaN,0,1,0.589796854659653,0.8,NaN,0,1,1,0.8,0.8,0.2,1
5,2,25,2,1,3,1,2,0,1,-1,30471.8912245471,30474.3596143261,30477.7285904483,30479.2463071081,30483.816135793,NaN,NaN,0,-1,0.570379964719905,0.2,NaN,1,0,0,0.2,0.8,0.2,-1
5,2,26,2,1,3,1,1,1,1,1,30485.8341834484,30489.0530973275,30492.3386915912,30493.8564614722,30498.4095579459,NaN,NaN,0,1,0.484902275191416,0.2,NaN,0,0,0,0.2,0.8,0.2,-1
5,2,27,2,1,4,2,1,1,2,0,30500.4276192623,30504.2636062524,30505.9647809879,30507.4824976477,30513.0863724876,NaN,NaN,0,-1,0.730397120707494,0.8,NaN,0,0,0,0.2,0.8,0.2,-1
5,2,28,2,1,4,2,2,0,1,1,30515.1044326656,30519.5074871031,30521.5922535648,30523.1099682324,30528.9640162544,NaN,NaN,0,1,0.679591717082076,0.8,NaN,0,1,1,0.2,0.8,0.2,1
5,2,29,2,1,4,2,2,0,1,-1,30530.9820878166,30534.3677554515,30537.0363076261,30538.5539833028,30541.5727362093,NaN,NaN,0,-1,0.589215691299614,0.8,NaN,0,0,0,0.2,0.8,0.2,-1
5,2,30,2,1,4,2,1,1,1,-1,30543.5907955335,30547.0265049769,30550.162016506,30551.67972292,30557.1668510907,NaN,NaN,0,-1,0.790067400150292,0.8,NaN,0,1,1,0.2,0.8,0.2,1
5,2,31,2,1,4,2,2,0,1,1,30559.1849112687,30563.8047732239,30566.0730085763,30567.5907238131,30573.2446322078,NaN,NaN,0,1,0.48470675156932,0.8,NaN,0,1,1,0.2,0.8,0.2,1
5,2,32,2,1,4,2,1,1,2,0,30575.2626938089,30580.8332248988,30582.8512822308,30584.3690017367,30587.8714376707,NaN,NaN,0,1,0.550180980302684,0.2,NaN,1,0,0,0.2,0.2,0.2,-1
5,2,33,1,1,2,3,1,1,2,0,30592.908237948,30598.3286464586,30601.7643547635,30603.2821121218,30606.0006150314,30589.8894998409,NaN,0,1,0.539834735580371,0.2,NaN,0,1,1,0.2,0.2,0.2,1
5,2,34,1,1,1,3,1,1,2,0,30608.0186774862,30610.2368858296,30612.9053876291,30614.423133034,30620.0603479239,NaN,NaN,0,1,0.515287556332623,0.2,NaN,0,1,1,0.2,0.2,0.2,1
5,2,35,1,1,2,3,2,0,2,0,30622.0783984253,30626.1979145855,30628.6162614176,30630.1339681163,30635.154105626,NaN,NaN,0,-1,0.84012856175832,0.2,NaN,0,1,1,0.2,0.2,0.2,1
5,2,36,1,1,1,3,2,0,1,1,30637.1721683655,30640.1575760991,30642.3090548212,30643.8267922572,30646.7954874173,NaN,NaN,0,1,0.544896150491695,0.2,NaN,0,0,0,0.2,0.2,0.2,-1
5,2,37,1,1,2,3,1,1,1,-1,30648.813560118,30651.9490577014,30654.0338355473,30655.5515411075,30661.4389465404,NaN,NaN,0,-1,0.534638987122889,0.2,NaN,0,0,0,0.2,0.2,0.2,-1
5,2,38,1,0,1,3,2,1,1,-1,30663.4570064338,30668.4938422867,30671.4958991269,30673.0136163559,30675.9990129899,NaN,NaN,0,-1,1.09529257676331,0.2,1,0,1,NaN,0.2,0.2,0.2,-1
5,2,39,1,0,1,3,2,1,1,1,30678.0170740218,30681.669600944,30684.6550004241,30686.1727153762,30688.8245518468,NaN,NaN,0,1,0.950642951102054,0.2,1,0,0,NaN,0.2,0.2,0.2,1
